=== Inicio de la Optimización PSO Global ===

--- Iteración 1 ---
Partícula 10 | Posición: [-0.5973, -1.5610] | Velocidad: [ 0.9855, -0.0244] | pbest: -45.1171 | gbest: -45.3802
Partícula 11 | Posición: [-1.5491, -1.4409] | Velocidad: [ 0.6476,  0.0809] | pbest: -45.3075 | gbest: -45.3802
Partícula 12 | Posición: [-1.3702, -1.4617] | Velocidad: [-0.4664, -0.1459] | pbest: -45.3361 | gbest: -45.3802
Partícula 13 | Posición: [-1.5246, -1.5836] | Velocidad: [-0.0093, -0.1365] | pbest: -45.3802 | gbest: -45.3802
Partícula 14 | Posición: [-1.2652, -1.5194] | Velocidad: [ 0.0766,  0.0121] | pbest: -45.1819 | gbest: -45.3802
Partícula 15 | Posición: [-1.5299, -1.4149] | Velocidad: [ 0.0832, -0.2901] | pbest: -45.3333 | gbest: -45.3802
Partícula 16 | Posición: [-1.6220, -1.5769] | Velocidad: [ 0.2281,  0.1836] | pbest: -44.8494 | gbest: -45.3802
Partícula 17 | Posición: [-1.5749, -1.4320] | Velocidad: [-0.0055, -0.0676] | pbest: -45.2284 | gbest: -45.3802
Partícula 18 | Posición: [-1.8996, -1.4582] | Velocidad: [-0.1639,  0.0206] | pbest: -44.3557 | gbest: -45.3802
Partícula 19 | Posición: [-2.5148, -2.2305] | Velocidad: [-0.7115, -0.5353] | pbest: -43.0077 | gbest: -45.3802
Partícula 20 | Posición: [-1.4843, -1.5638] | Velocidad: [-0.1437,  0.6769] | pbest: -45.2573 | gbest: -45.3802

--- Iteración 7 ---
Partícula 01 | Posición: [-1.2941, -1.6328] | Velocidad: [-0.1215, -1.2814] | pbest: -44.6600 | gbest: -45.3802
Partícula 02 | Posición: [-1.6311, -1.2692] | Velocidad: [ 0.0214,  0.1543] | pbest: -44.8889 | gbest: -45.3802
Partícula 03 | Posición: [-1.4035, -1.3202] | Velocidad: [ 0.1209, -0.0201] | pbest: -45.1574 | gbest: -45.3802
Partícula 04 | Posición: [-1.8604, -1.4462] | Velocidad: [ 0.5438,  0.0861] | pbest: -43.2129 | gbest: -45.3802
Partícula 05 | Posición: [-1.5038, -1.6446] | Velocidad: [-0.1835, -0.8194] | pbest: -44.9097 | gbest: -45.3802
Partícula 06 | Posición: [-1.6926, -1.1162] | Velocidad: [-0.1024,  0.0569] | pbest: -44.1390 | gbest: -45.3802
Partícula 07 | Posición: [-1.4704, -1.3981] | Velocidad: [-0.0471, -0.5123] | pbest: -45.3854 | gbest: -45.3854
Partícula 08 | Posición: [-1.3060, -2.0988] | Velocidad: [ 0.2956, -0.5795] | pbest: -45.0817 | gbest: -45.3854
Partícula 09 | Posición: [-1.4272, -1.7040] | Velocidad: [ 0.0067,  0.0889] | pbest: -45.2284 | gbest: -45.3854
Partícula 10 | Posición: [-0.7308, -1.4940] | Velocidad: [-0.1335,  0.0670] | pbest: -45.1171 | gbest: -45.3854
Partícula 11 | Posición: [-1.2303, -1.3760] | Velocidad: [ 0.3188,  0.0649] | pbest: -45.3075 | gbest: -45.3854
Partícula 12 | Posición: [-1.6713, -1.4473] | Velocidad: [-0.3011,  0.0144] | pbest: -45.3361 | gbest: -45.3854
Partícula 13 | Posición: [-1.4906, -1.4735] | Velocidad: [ 0.0340,  0.1102] | pbest: -45.4083 | gbest: -45.4083
Partícula 14 | Posición: [-1.3520, -1.5057] | Velocidad: [-0.0868,  0.0137] | pbest: -45.2559 | gbest: -45.4083
Partícula 15 | Posición: [-1.4498, -1.6007] | Velocidad: [ 0.0802, -0.1858] | pbest: -45.3333 | gbest: -45.4083
Partícula 16 | Posición: [-1.4437, -1.4350] | Velocidad: [ 0.1782,  0.1419] | pbest: -45.4247 | gbest: -45.4247
Partícula 17 | Posición: [-1.4268, -1.4624] | Velocidad: [ 0.1481, -0.0304] | pbest: -45.4201 | gbest: -45.4247
Partícula 18 | Posición: [-1.5538, -1.4320] | Velocidad: [ 0.3458,  0.0261] | pbest: -45.2911 | gbest: -45.4247
Partícula 19 | Posición: [-2.3502, -2.1098] | Velocidad: [ 0.1646,  0.1207] | pbest: -43.0077 | gbest: -45.4247
Partícula 20 | Posición: [-1.5232, -1.2340] | Velocidad: [-0.0389,  0.3298] | pbest: -45.2573 | gbest: -45.4247

--- Iteración 8 ---
Partícula 01 | Posición: [-1.3965, -2.0742] | Velocidad: [-0.1024, -0.4414] | pbest: -44.6600 | gbest: -45.4247
Partícula 02 | Posición: [-1.5760, -1.2750] | Velocidad: [ 0.0551, -0.0058] | pbest: -44.8889 | gbest: -45.4247
